year,month,day,flow,ss,ht,rain
1979,10,19,0.671,NaN,NaN,NaN
1979,10,20,10.554,NaN,NaN,NaN
1979,10,21,4.756,NaN,NaN,NaN
1979,10,22,1.463,NaN,NaN,NaN
1979,10,23,0.955,NaN,NaN,NaN
1979,10,24,0.775,NaN,NaN,NaN
1979,10,25,0.611,NaN,NaN,NaN
1979,10,26,0.527,NaN,NaN,NaN
1979,10,27,0.474,NaN,NaN,NaN
1979,10,28,0.446,NaN,NaN,NaN
1979,10,29,0.428,NaN,NaN,NaN
1979,10,30,1.649,NaN,NaN,NaN
1979,10,31,1.411,NaN,NaN,NaN
1979,11,1,0.61,NaN,NaN,NaN
1979,11,2,0.412,NaN,NaN,NaN
1979,11,3,0.36,NaN,NaN,NaN
1979,11,4,0.435,NaN,NaN,NaN
1979,11,5,0.436,NaN,NaN,NaN
1979,11,6,0.203,NaN,NaN,NaN
1979,11,7,0.191,NaN,NaN,NaN
1979,11,8,0.211,NaN,NaN,NaN
1979,11,9,1.054,NaN,NaN,NaN
1979,11,10,1.159,NaN,NaN,NaN
1979,11,11,4.376,NaN,NaN,NaN
1979,11,12,0.614,NaN,NaN,NaN
1979,11,13,0.389,NaN,NaN,NaN
1979,11,14,0.511,NaN,NaN,NaN
1979,11,15,0.356,NaN,NaN,NaN
1979,11,16,0.275,NaN,NaN,NaN
1979,11,17,0.267,NaN,NaN,NaN
1979,11,18,0.278,NaN,NaN,NaN
1979,11,19,0.794,NaN,NaN,NaN
1979,11,20,4.354,NaN,NaN,NaN
1979,11,21,0.725,NaN,NaN,NaN
1979,11,22,0.448,NaN,NaN,NaN
1979,11,23,0.609,NaN,NaN,NaN
1979,11,24,0.418,NaN,NaN,NaN
1979,11,25,0.383,NaN,NaN,NaN
1979,11,26,0.346,NaN,NaN,NaN
1979,11,27,0.312,NaN,NaN,NaN
1979,11,28,0.279,NaN,NaN,NaN
1979,11,29,0.295,NaN,NaN,NaN
1979,11,30,0.295,NaN,NaN,NaN
1979,12,1,0.262,NaN,NaN,NaN
1979,12,2,0.293,NaN,NaN,NaN
1979,12,3,0.257,NaN,NaN,NaN
1979,12,4,0.244,NaN,NaN,NaN
1979,12,5,0.232,NaN,NaN,NaN
1979,12,6,0.23,NaN,NaN,NaN
1979,12,7,1.21,NaN,NaN,NaN
1979,12,8,0.283,NaN,NaN,NaN
1979,12,9,0.24,NaN,NaN,NaN
1979,12,10,0.226,NaN,NaN,NaN
1979,12,11,0.36,NaN,NaN,NaN
1979,12,12,0.218,NaN,NaN,NaN
1979,12,13,0.218,NaN,NaN,NaN
1979,12,14,0.369,NaN,NaN,NaN
1979,12,15,0.255,NaN,NaN,NaN
1979,12,16,0.211,NaN,NaN,NaN
1979,12,17,0.205,NaN,NaN,NaN
1979,12,18,0.21,NaN,NaN,NaN
1979,12,19,0.228,NaN,NaN,NaN
1979,12,20,0.198,NaN,NaN,NaN
1979,12,21,0.196,NaN,NaN,NaN
1979,12,22,0.182,NaN,NaN,NaN
1979,12,23,0.184,NaN,NaN,NaN
1979,12,24,0.174,NaN,NaN,NaN
1979,12,25,0.181,NaN,NaN,NaN
1979,12,26,0.793,NaN,NaN,NaN
1979,12,27,0.24,NaN,NaN,NaN
1979,12,28,0.184,NaN,NaN,NaN
1979,12,29,0.167,NaN,NaN,NaN
1979,12,30,0.165,NaN,NaN,NaN
1979,12,31,1.341,NaN,NaN,NaN
1980,1,1,0.217,NaN,NaN,NaN
1980,1,2,0.163,NaN,NaN,NaN
1980,1,3,0.158,NaN,NaN,NaN
1980,1,4,0.166,NaN,NaN,NaN
1980,1,5,0.162,NaN,NaN,NaN
1980,1,6,0.156,NaN,NaN,NaN
